"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Litigation B - Team A4 - General Private Law","32","AO","21850","23800","Legal Support Officer","5.36","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team A4 - General Private Law","32","EO","25290","30000","Legal Officer","8.50","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team A4 - General Private Law","32","G6","61200","75200","Senior Legal Adviser","5.70","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team A4 - General Private Law","32","G7","48400","61000","Legal Adviser","20.12","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team A4 - General Private Law","32","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","AO","21850","23800","Legal Support Officer","5.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","EO","25290","30000","Legal Officer","8.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","G6","61200","75200","Senior Legal Adviser","5.89","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","G7","48400","61000","Legal Adviser","18.10","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","HEO","29550","35000","Legal Manager","3.80","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","LT","28280","32320","Legal Trainee","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B1 - Home Office Immigration","28","SEO","36250","43000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","AO","21850","23800","Legal Support Officer","5.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","EO","25290","30000","Legal Officer","8.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","G6","61200","75200","Senior Legal Adviser","6.81","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","G7","48400","61000","Legal Adviser","20.33","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","HEO","29550","35000","Legal Manager","5.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B2 - Home Office Immigration","29","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","AO","21850","23800","Legal Support Officer","4.80","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","EO","25290","30000","Legal Officer","10.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","G6","61200","75200","Senior Legal Adviser","4.88","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","G7","48400","61000","Legal Adviser","14.80","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","HEO","29550","35000","Legal Manager","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B3 - Home Office Immigration","30","LT","28280","32320","Legal Trainee","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","AO","21850","23800","Legal Support Officer","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","EO","25290","30000","Legal Officer","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","G6","61200","75200","Senior Legal Adviser","6.69","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","G7","48400","61000","Legal Adviser","18.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B5 - General Public Law & Planning","33","LT","28280","32320","Legal Trainee","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","AO","21850","23800","Legal Support Officer","3.40","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","EO","25290","30000","Legal Officer","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","G6","61200","75200","Senior Legal Adviser","4.09","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","G7","48400","61000","Legal Adviser","7.60","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B6 - General Public Law & DHSC/DWP","34","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","AO","21850","23800","Legal Support Officer","5.34","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","EO","25290","30000","Legal Officer","7.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","G6","61200","75200","Senior Legal Adviser","4.80","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","G7","48400","61000","Legal Adviser","19.60","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","HEO","29550","35000","Legal Manager","4.60","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Team B8 - Home Office Immigration","31","LT","28280","32320","Legal Trainee","6.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Command, Discipline & Constitutional Division","73","G6","61200","75200","Senior Legal Adviser","3.50","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Command, Discipline & Constitutional Division","73","G7","48400","61000","Legal Adviser","3.20","Law"
