"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","AO","21850","23800","Legal Support Officer","10.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","EO","25290","30000","Legal Officer","12.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G6","61200","75200","Senior Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G7","48400","61000","Legal Adviser","7.61","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","HEO","29550","35000","Legal Manager","10.50","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","SEO","36250","43000","Legal Manager","5.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers","38","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers - General Policy & National Security","39","G6","61200","75200","Senior Legal Adviser","4.41","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers - General Policy & National Security","39","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Constitutional Law","40","G6","61200","75200","Senior Legal Adviser","3.63","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Constitutional Law","40","G7","48400","61000","Legal Adviser","2.81","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","G6","61200","75200","Senior Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","G7","48400","61000","Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Wales Office & International Law Legal Advisers","150","G6","61200","75200","Senior Legal Adviser","1.89","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Wales Office & International Law Legal Advisers","150","G7","48400","61000","Legal Adviser","0.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","EO","25290","30000","Operational Officer","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","G6","61200","75200","Operational Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","G7","48400","61000","Operational Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","HEO","29550","35000","Operational Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","SEO","36250","43000","Operational Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G6","61200","75200","Senior Legal Adviser","4.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G7","48400","61000","Legal Adviser","10.90","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","LT","28280","32320","Legal Trainee","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G6","61200","75200","Senior Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G7","48400","61000","Legal Adviser","7.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","G6","61200","75200","Senior Legal Adviser","8.01","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","G7","48400","61000","Legal Adviser","9.40","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G6","61200","75200","Senior Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G6","61200","75200","Senior Legal Adviser","6.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G7","48400","61000","Legal Adviser","7.81","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G6","61200","75200","Senior Legal Adviser","9.90","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G7","48400","61000","Legal Adviser","8.30","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","LO","42420","42420","Legal Manager","3.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G6","61200","75200","Senior Legal Adviser","13.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G7","48400","61000","Legal Adviser","17.21","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","HEO","29550","35000","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","AO","21850","23800","Operational Support Officer","14.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","EO","25290","30000","Operational Officer","21.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G6","61200","75200","Operational Team Manager","2.72","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G7","48400","61000","Operational Team Manager","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","HEO","29550","35000","Operational Manager","27.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","SEO","36250","43000","Operational Manager","4.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","EO","25290","30000","Admin Support Officer","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","EO","25290","30000","PMO Team","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","EO","25290","30000","Project Support","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Business Analyst","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Developer","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G6","61200","75200","Programme Manager","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Business Analyst","3.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","PMO Lead","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Product Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Project Manager","3.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","G7","48400","61000","Project Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Business Analyst","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Developer","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","PMO Team","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Project Support","2.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Project Support","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Tester","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Business Analyst","4.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Business Change Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Developer","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Project Manager","1.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","173","EO","25290","30000","Communications Officer","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","173","G7","48400","61000","Communications Team Manager","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","173","HEO","29550","35000","Communications Manager","1.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Communications","173","SEO","36250","43000","Communications Manager","2.00","Communications"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","AO","21850","23800","Finance Support Officer","8.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","EO","25290","30000","Finance Officer","9.60","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","G6","61200","75200","Finance Team Manager","2.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","G7","48400","61000","Finance Team Manager","2.00","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","HEO","29550","35000","Finance Manager","6.89","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Finance","125","SEO","36250","43000","Finance Manager","6.80","Finance"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","174","AO","21850","23800","Governance Support Officer","1.00","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","174","G6","61200","75200","Governance Team Manager","1.00","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Governance","174","HEO","29550","35000","Governance Manager","2.67","Planning"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","AO","21850","23800","HR Support Officer","14.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","EO","25290","30000","HR Officer","12.60","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G6","61200","75200","HR Team Manager","2.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G7","48400","61000","HR Business Partner","2.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G7","48400","61000","HR Team Manager","1.30","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","G7","48400","61000","Organisation Development Team Leader","1.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","HEO","29550","35000","HR Manager","8.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Human Resources","129","SEO","36250","43000","HR Manager","4.00","Human Resources"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - People and Change","127","HEO","29550","35000","Operational Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Clean Energy","162","G6","61200","75200","Senior Legal Adviser","3.59","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Clean Energy","162","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Consumers, Competition, & Postal Services","153","G6","61200","75200","Senior Legal Adviser","3.41","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Consumers, Competition, & Postal Services","153","G7","48400","61000","Legal Adviser","1.78","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Consumers, Competition, & Postal Services","153","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Corporate Law","154","G6","61200","75200","Senior Legal Adviser","3.61","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Corporate Law","154","G7","48400","61000","Legal Adviser","5.60","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Energy Development","161","G6","61200","75200","Senior Legal Adviser","4.88","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Energy Development","161","G7","48400","61000","Legal Adviser","4.92","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Energy Efficiency, Heat & Climate Change","160","G6","61200","75200","Senior Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Energy Efficiency, Heat & Climate Change","160","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Energy Efficiency, Heat & Climate Change","160","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Industry Investments & State Aid","155","G6","61200","75200","Senior Legal Adviser","2.46","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Industry Investments & State Aid","155","G7","48400","61000","Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Industry Investments & State Aid","155","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Industry Investments & State Aid","155","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - International, EU & Trade Law","164","G6","61200","75200","Senior Legal Adviser","5.22","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - International, EU & Trade Law","164","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - International, EU & Trade Law","164","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Labour Market","156","EO","25290","30000","Legal Officer","5.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Labour Market","156","G6","61200","75200","Senior Legal Adviser","3.38","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Labour Market","156","G7","48400","61000","Legal Adviser","3.75","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Labour Market","156","HEO","29550","35000","Legal Manager","2.56","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Networks, Markets & Security of Supply","165","G6","61200","75200","Senior Legal Adviser","7.72","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Networks, Markets & Security of Supply","165","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Networks, Markets & Security of Supply","165","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Nuclear and Non-Proliferation","163","G6","61200","75200","Senior Legal Adviser","8.53","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Nuclear and Non-Proliferation","163","G7","48400","61000","Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Nuclear and Non-Proliferation","163","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Rescue Restructure & Insolvency","157","G6","61200","75200","Senior Legal Adviser","1.67","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Rescue Restructure & Insolvency","157","G7","48400","61000","Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Rescue Restructure & Insolvency","157","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Responsible Business Practices & Better Regulation","159","G6","61200","75200","Senior Legal Adviser","5.63","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Responsible Business Practices & Better Regulation","159","G7","48400","61000","Legal Adviser","1.91","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Responsible Business Practices & Better Regulation","159","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Science & Intellectual Property","158","G6","61200","75200","Senior Legal Adviser","5.54","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Science & Intellectual Property","158","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Business, Energy & Industrial Strategy Legal Advisers - Science & Intellectual Property","158","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Data Protection","45","G6","61200","75200","Senior Legal Adviser","5.49","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Data Protection","45","G7","48400","61000","Legal Adviser","4.75","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Data Protection","45","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Digital, Telecoms, Sports & Gambling","43","G6","61200","75200","Senior Legal Adviser","4.23","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Digital, Telecoms, Sports & Gambling","43","G7","48400","61000","Legal Adviser","3.89","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Media & Culture","44","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Media & Culture","44","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Media & Culture","44","G6","61200","75200","Senior Legal Adviser","3.99","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers - Media & Culture","44","G7","48400","61000","Legal Adviser","3.30","Law"
"Attorney General's Office","Government Legal Department","Department for Culture, Media and Sport Legal Advisers and Health and Safety Executive","42","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Academies","64","G6","61200","75200","Senior Legal Adviser","1.80","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Academies","64","G7","48400","61000","Legal Adviser","5.31","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Academies","64","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Children's Law","67","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Children's Law","67","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Children's Law","67","LT","28280","32320","Legal Trainee","0.81","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Further Education & Apprenticeships","136","G6","61200","75200","Senior Legal Adviser","4.22","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Further Education & Apprenticeships","136","G7","48400","61000","Legal Adviser","4.50","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Higher Education","137","G6","61200","75200","Senior Legal Adviser","5.24","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Higher Education","137","G7","48400","61000","Legal Adviser","3.81","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Higher Education","137","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Schools & Pupils","65","G6","61200","75200","Senior Legal Adviser","4.63","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Schools & Pupils","65","G7","48400","61000","Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Teaching & Independent Schools","68","G6","61200","75200","Senior Legal Adviser","4.52","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Teaching & Independent Schools","68","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers - Teaching & Independent Schools","68","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers & Government Equalities Office","63","EO","25290","30000","Legal Officer","4.29","Law"
"Attorney General's Office","Government Legal Department","Department for Education Legal Advisers & Government Equalities Office","63","HEO","29550","35000","Legal Manager","3.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers","117","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Agricultural","120","G6","61200","75200","Senior Legal Adviser","3.38","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Agricultural","120","G7","48400","61000","Legal Adviser","8.95","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Air Quality & Water","121","G6","61200","75200","Senior Legal Adviser","4.47","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Air Quality & Water","121","G7","48400","61000","Legal Adviser","5.89","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Air Quality & Water","121","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Animal Health and Welfare, Plants and Food","119","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Animal Health and Welfare, Plants and Food","119","G6","61200","75200","Senior Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Animal Health and Welfare, Plants and Food","119","G7","48400","61000","Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Animal Health and Welfare, Plants and Food","119","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","AO","21850","23800","Legal Support Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","G6","61200","75200","Senior Legal Adviser","7.11","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","G7","48400","61000","Legal Adviser","5.21","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Biodiversity, Marine and Wildlife","118","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Environmental Quality and Countryside","122","G6","61200","75200","Senior Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - Environmental Quality and Countryside","122","G7","48400","61000","Legal Adviser","5.60","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - International, EU Exit and Trade","123","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - International, EU Exit and Trade","123","G6","61200","75200","Senior Legal Adviser","5.40","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - International, EU Exit and Trade","123","G7","48400","61000","Legal Adviser","6.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs Legal Advisers  - International, EU Exit and Trade","123","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers -  EU Withdrawal","140","G6","61200","75200","Senior Legal Adviser","4.80","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers -  EU Withdrawal","140","G7","48400","61000","Legal Adviser","6.50","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers -  EU Withdrawal","140","LO","42420","42420","Legal Manager","1.00","Law"
